Job,Industry,NAICS Code,Seniority,Notes,Seniority link,
business developerment associate,"Management, Scientific, and Technical Consulting Services",5416,2,,https://www.bls.gov/ooh/business-and-financial/market-research-analysts.htm#tab-4,
marketing specialist,"Management, Scientific, and Technical Consulting Services",5416,2,,https://www.bls.gov/ooh/business-and-financial/market-research-analysts.htm,
sales and marketing assistant,"Management, Scientific, and Technical Consulting Services",5416,2,,https://www.bls.gov/ooh/business-and-financial/market-research-analysts.htm,
assistant project manager (business),"Management, Scientific, and Technical Consulting Services",5416,2,,https://www.bls.gov/ooh/business-and-financial/project-management-specialists.htm#tab-4,
assistant marketing manager,"Management, Scientific, and Technical Consulting Services",5416,2,,https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm,
project assistant,"Management, Scientific, and Technical Consulting Services",5416,2,,https://www.bls.gov/ooh/business-and-financial/project-management-specialists.htm#tab-4,
project manager (business),"Management, Scientific, and Technical Consulting Services",5416,3,Management position takes regular position seniority +1,https://www.bls.gov/ooh/business-and-financial/project-management-specialists.htm#tab-4,
research assistant,Scientific Research and Development Services,5417,1,,,
adminsitrative assistant,Office Administrative Services,5611,0,,https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm,
adminsitrative assistant intern,Office Administrative Services,5611,0,,https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm,
executive assistant,Office Administrative Services,5611,0,,https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm,
office assistant,Office Administrative Services,5611,0,,https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm,
office manager,Office Administrative Services,5611,2,,https://www.bls.gov/ooh/management/administrative-services-managers.htm,
office administrator,Office Administrative Services,5611,2,,https://www.bls.gov/ooh/management/administrative-services-managers.htm,
customer service representative,Administrative and Support Services,5614,0,,https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm,
customer service associate,Administrative and Support Services,5614,0,,https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm,
music teacher,Educational Services (Elementary and Secondary Schools),6111,2,,https://www.bls.gov/ooh/education-training-and-library/high-school-teachers.htm,https://www.bls.gov/ooh/education-training-and-library/kindergarten-and-elementary-school-teachers.htm
teaching assistant ,"Educational Services (Colleges, Universities, and Professional School)",6113,1,,https://www.bls.gov/ooh/education-training-and-library/teacher-assistants.htm,
computer science tutor,Educational Services (Other Schools and Instructions),6116,1,,https://www.bls.gov/ooh/education-training-and-library/tutors.htm,
musician,Performing Arts Companies,7111,0,,https://www.bls.gov/ooh/entertainment-and-sports/musicians-and-singers.htm,
waitress,Restaurants and Other Eating Places,7225,0,,https://www.bls.gov/ooh/food-preparation-and-serving/waiters-and-waitresses.htm,
volunteer,Civic and Social Organizations,8134,0,,,
intern (non-profit),Other Services (except Public Administration),8134,1,,,
